SITE	ABD	EL	KK	MM	MR	MKE	NR	NV	SB	SH	SHP	TN	TV
ELEV	2712	2504	1793	1601	 421	2686	1628	1974	 883	 242	1120	  77	 544
TEMP	11.9	15.0	18.8	19.5	25.6	12.4	19.0	16.7	23.6	24.5	22.6	27.3	24.5
TEMP_MIN	10.4	14.0	17.7	18.2	23.8	11.1	16.7	14.8	22.6	22.3	20.5	25.2	22.1
TEMP_low	 5.5	 8.3	10.7	12.7	18.4	 5.9	12.9	 9.6	15.4	20.3	16.2	22.0	19.0
TEMP_low_MIN	 4.3	 8.0	 9.9	11.6	16.7	 4.8	11.0	 8.4	14.6	18.3	14.5	19.9	17.1
TEMP_MAX	13.1	16.1	19.8	20.6	27.2	13.6	20.7	18.2	24.8	26.6	24.2	29.1	26.5
TEMP_high	18.4	21.8	27.0	26.4	32.9	19.1	25.3	23.9	32.0	28.8	29.2	32.6	30.1
TEMP_high_MAX	20.7	23.8	28.5	27.8	34.8	21.2	27.8	26.5	33.5	31.3	31.3	34.8	32.6
PREC	1656	1606	1779	1038	 430	1594	 742	 709	 504	1102	 567	 508	 714
PREC_MIN	700	491	751	334	  4	596	127	273	 47	251	 71	153	133
PREC_low	 937	1127	1461	 899	 306	 807	 635	 669	 432	1003	 474	 451	 504
PREC_MAX	3637	2514	2910	2034	1728	3461	1953	1859	1619	2665	1563	1086	1754
PREC_high	2325	1868	1980	1352	 656	2174	 840	 826	 689	1185	 798	 650	1117
NPP	1576	1846	2079	1494	 745	1620	1167	1126	 853	1557	 941	 859	1133
NPP_MIN_MIN	1115	 835	1178	 597	   8	 980	 243	 497	  92	 461	 138	 290	 254
NPP_low_low	1022	1257	1469	1349	 552	1054	1032	1076	 748	1459	 810	 776	 853
NPP_low_MIN	1022	 835	1178	 597	   8	 980	 243	 497	  92	 461	 138	 290	 254
NPP_MIN_low	1390	1581	1863	1349	 552	1244	1032	1076	 748	1459	 810	 776	 853
NDVI	0.714	0.683	0.751	0.533	0.371	0.633	0.417	0.457	0.298	0.622	0.537	0.389	0.344
NDVI_MIN9y	0.391	0.298	0.561	0.276	0.227	0.268	0.198	0.257	0.181	0.431	0.338	0.235	0.202
NDVI_low1y	0.484	0.537	0.642	0.341	0.245	0.435	0.258	0.333	0.203	0.487	0.389	0.277	0.231
NDVI_low1y_MIN	0.692	0.654	0.734	0.483	0.329	0.604	0.332	0.357	0.228	0.551	0.450	0.331	0.272
NDVI_low	0.690	0.659	0.741	0.502	0.345	0.602	0.390	0.436	0.277	0.596	0.509	0.368	0.322
NDVI_low_MIN	0.576	0.592	0.666	0.376	0.246	0.526	0.294	0.382	0.208	0.537	0.396	0.298	0.236
species_count	23	17	20	35	38	23	31	31	29	20	29	37	35
