HYP	HOD	AL	OL	SF	OT	CM	
1	0	0	0	0	0.735	-0.676	-0.026	0.386
2	0	0	0.743	0	0.864	-0.625	0	0.316
3	0	0	2.156	0	1.379	-0.001	0	0.004
4	0	0	0.985	0	0.904	-0.613	0	0.294
5	0	0	0.68	0	0.763	-0.533	0	0.332
6	0	0	1.82	0	0.463	-1.048	0	0.401
7	0	0	1.487	0	0.895	-0.654	0	0.281
8	0	0	0.931	0	1.006	-0.575	0	0.272
9	0	0.087	0.321	0	0	-1.199	0	0.533
10	0	0	1.972	0	0.88	-0.741	0	0.273
11	0	0.141	0	0	1.534	-0.609	0	0.05
12	0	0	0.718	0	0.963	-0.437	0	0.271
13	0	0	0.576	0	0.935	-0.595	0	0.316
14	0.3	0	0	0.986	0	0.887	-0.63	0
