PREC_MIN	HYP	WCT_CS	WCT_AL	WCT_OL	WCT_CP	WCT_SF	WCT_CM	HYP_2	HYP_3	WCT_CS_4	WCT_CS_5	WCT_CS_6	WCT_CS_7	WCT_AL_1	WCT_AL_2	WCT_OL_2	WCT_OL_3	WCT_OL_5	WCT_CP_1	WCT_CP_2	WCT_SF_1	WCT_SF_2	MASS_log_mean
0	8	0	0	0	0	0	0	0	0	0	1	5	3	7	0	0	0	0	2	0	0	10	9
0	0	0	0	0	0	0	0	5	8	0	10	6	0	1	0	0	2	0	0	0	3	4	0
0	0	2	0	0	0	0	4	0	1	0	0	7	8	0	10	0	0	0	6	0	9	0	0
0	0	0	0	0	0	0	0	8	10	0	1	5	3	4	7	0	0	0	0	0	6	9	0
0	0	1	0	0	0	0	0	0	10	0	6	8	3	7	4	0	0	0	0	0	0	9	0
0	0	0	0	0	0	1	3	7	9	0	4	8	5	0	0	0	0	0	2	0	0	10	0
0	0	1	0	0	0	0	0	6	9	0	2	8	3	7	0	0	0	0	0	0	4	10	0
0	0	0	0	0	0	0	0	6	9	0	2	8	3	7	0	0	0	0	0	0	4	10	0
0	0	0	0	0	0	0	0	6	1	0	3	8	2	5	0	0	0	0	0	0	7	10	0
0	0	0	0	0	0	0	6	5	8	0	3	7	1	0	9	0	0	0	0	0	4	10	0
0	0	0	0	0	0	0	0	6	9	0	1	8	4	5	2	0	0	0	0	0	3	10	0
0	0	3	2	0	0	0	0	6	10	0	0	8	0	4	0	0	0	5	0	0	7	9	1
0	0	1	0	0	0	0	0	6	9	0	2	8	3	7	0	0	0	0	0	0	4	10	0
